"Periodo","Exportaciones","Importaciones"
"2013/11","31673409.00000","31363977.00000"
"2013/12","32061207.00000","30441223.00000"
"2014/01","27052385.00000","30233531.00000"
"2014/02","30461527.00000","29543472.00000"
"2014/03","33245192.00000","32287360.00000"
"2014/04","34059950.00000","33561872.00000"
"2014/05","34373788.00000","34251128.00000"
"2014/06","33436311.00000","33050550.00000"
"2014/07","33687101.00000","34690783.00000"
"2014/08","33286822.00000","34483635.00000"
"2014/09","34147311.00000","33667444.00000"
"2014/10","36879601.00000","36945105.00000"
"2014/11","32192734.00000","33407006.00000"
"2014/12","34090910.00000","33862450.00000"
"2015/01","26552980.00000","29815949.00000"
"2015/02","29730827.00000","29124312.00000"
"2015/03","34176907.00000","33664411.00000"
"2015/04","32971490.00000","33041330.00000"
"2015/05","31244164.00000","32357413.00000"
"2015/06","33761266.00000","34588510.00000"
"2015/07","32694385.00000","35071114.00000"
"2015/08","31009266.00000","33830163.00000"
"2015/09","32186659.00000","33661218.00000"
"2015/10","34100015.00000","35598931.00000"
"2015/11","30980793.00000","32593480.00000"
"2015/12","31141487.00000","31887339.00000"
"2016/01","24687412.00000","27977457.00000"
"2016/02","28966433.00000","29749348.00000"
"2016/03","31492984.00000","31406566.00000"
"2016/04","30386668.00000","32495321.00000"
"2016/05","31410208.00000","31852312.00000"
"2016/06","31949296.00000","32465973.00000"
"2016/07","29773010.00000","31599262.00000"
"2016/08","32446304.00000","34332060.00000"
"2016/09","32700558.00000","34227646.00000"
"2016/10","32595765.00000","33493449.00000"
"2016/11","34343966.00000","34265011.00000"
"2016/12","33195659.00000","33206048.00000"
"2017/01","27316175.00000","30788434.00000"
"2017/02","31345973.00000","30586757.00000"
"2017/03","36048426.00000","36110316.00000"
"2017/04","31768954.00000","30869680.00000"
"2017/05","35342342.00000","36546951.00000"
"2017/06","35547887.00000","35548917.00000"
"2017/07","32155156.00000","33687183.00000"
"2017/08","35926907.00000","38513130.00000"
"2017/09","33771318.00000","35706801.00000"
"2017/10","36715630.00000","38969493.00000"
"2017/11","37507573.00000","37082913.00000"
"2017/12","35986234.00000","35984012.00000"
"2018/01","30718527.00000","35140478.00000"
"2018/02","35093790.00000","34149860.00000"
"2018/03","39484266.00000","37734615.00000"
"2018/04","37181665.00000","37471965.00000"
"2018/05","39213903.00000","40766241.00000"
"2018/06","37483508.00000","38383337.00000"
"2018/07","36742201.00000","39612118.00000"
"2018/08","39545381.00000","42129496.00000"
"2018/09","37700600.00000","38001683.00000"
"2018/10","41356253.00000","44290891.00000"
"2018/11","38595464.00000","40928716.00000"
"2018/12","37597547.00000","35692967.00000"
"2019/01","32637726.00000","37263003.00000"
"2019/02","36438032.00000","35074088.00000"
"2019/03","39019526.00000","37531219.00000"
"2019/04","39586575.00000","38076872.00000"
"2019/05","41752194.00000","40794739.00000"
"2019/06","37929397.00000","35388247.00000"
"2019/07","39127267.00000","40417297.00000"
"2019/08","40057283.00000","39655109.00000"
"2019/09","37185912.00000","37338100.00000"
"2019/10","40768524.00000","41456274.00000"
"2019/11","37472527.00000","36705372.00000"
"2019/12","38728840.00000","35594967.00000"
"2020/01","33587787.00000","36068885.00000"
"2020/02","36591757.00000","33723763.00000"
"2020/03","38342697.00000","35007165.00000"
"2020/04","23384801.00000","26472201.00000"
"2020/05","18069770.00000","21592392.00000"
"2020/06","33076474.00000","27529810.00000"
"2020/07","35662355.00000","29863670.00000"
